,case_url,case_id
87,https://www.nejm.org/image-challenge?ci=20210826,case_131
88,https://www.nejm.org/image-challenge?ci=20210819,case_132
89,https://www.nejm.org/image-challenge?ci=20210812,case_133
90,https://www.nejm.org/image-challenge?ci=20210805,case_134
91,https://www.nejm.org/image-challenge?ci=20210729,case_135
92,https://www.nejm.org/image-challenge?ci=20210722,case_136
93,https://www.nejm.org/image-challenge?ci=20210715,case_137
94,https://www.nejm.org/image-challenge?ci=20210708,case_138
95,https://www.nejm.org/image-challenge?ci=20210701,case_139
96,https://www.nejm.org/image-challenge?ci=20210624,case_140
97,https://www.nejm.org/image-challenge?ci=20210617,case_141
98,https://www.nejm.org/image-challenge?ci=20210603,case_143
99,https://www.nejm.org/image-challenge?ci=20210527,case_144
