,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id
10,"A 20-year-old male with a medical history of diabetes mellitus type 1 presents with ecchymosis and bullous lesions on his back, posterior legs, and buttocks. He was playing football when he ran into another player and became unconscious. He was immobile in the hospital for 3 days before he regained consciousness. He has about 7 tense blisters with areas of surrounding erythema on the back, buttocks, and posterior thighs.",Bullosis diabeticorum,Subepidermal bullae,Bullous leukocytoclastic vasculitis,Pressure bullae (coma bullae),Pressure bullae (coma bullae),Dermatology,dermatology_public,case_10
11,"A 6-year-old Caucasian boy is brought to the clinic by his parents for dry, scaly skin that has persisted for the past 2 years despite the use of commercial moisturizers. His scaly skin is especially notable over his lower extremities, back, and elbows. The patient denies any pain over the affected areas and reports only a mild itch that is soothed with cold water or lotions. The parents report that he had a similar condition as an infant throughout his entire body and that he has siblings who also have persistently dry skin. His parents have tried exfoliating the scales with moderate success, but the scales recur shortly thereafter.",X-linked ichthyosis,Ichthyosis vulgaris,Lamellar ichthyosis,Epidermolytic hyperkeratosis,Ichthyosis vulgaris,Dermatology,dermatology_public,case_11
12,"A 7-year-old healthy boy is brought to the dermatology clinic by his parents after having had a 3-week history of a rash. The patient’s rash was slightly pruritic, and it involved predominantly the trunk, starting as one larger pink patch with fine scale and subsequently spreading with smaller similar macules and patches. The boy’s palms and soles were spared of the rash.",Pityriasis rosea,Secondary syphilis,Guttate psoriasis,Small plaque parapsoriasis,Pityriasis rosea,Dermatology,dermatology_public,case_12
13,"A 24-year-old Caucasian woman presented with intermittent, inflammatory papulopustules and nodules on the face, neck, chest, and back. The lesions would appear 1 week premenstrually and resolve 1 week postmenstrually with normal menstrual cycles. She has a history of adolescent acne that is only responsive to isotretinoin 6 years ago. Examination revealed scarring and postinflammatory hyperpigmentation diffusely on her face.",Rosacea,Acne vulgaris,Acanthosis nigricans,Alopecia,Acne vulgaris,Dermatology,dermatology_public,case_13
14,"A 15-month-old boy presents with a history of skin blistering since birth, primarily on his hands, feet, and the perioral face. Blisters and erosions also involve the trunk, some in an annular configuration. There is no family history of neonatal blistering or skin fragility. Over time, the patient has had a decreased number of new vesicles and bullae associated with trauma and friction but has developed thicker skin on the soles of the feet and dystrophic nails.",Severe recessive dystrophic EB,Junctional EB,Sweet syndrome,EBS-Dowling Meara,EBS-Dowling Meara,Dermatology,dermatology_public,case_14
15,"A 71-year-old Caucasian man with myelodysplastic syndrome and on chemotherapy with azacitidine presented to the hospital with 2 days of high fever and 4 days of worsening skin lesions. The lesions appeared on the elbows as “blood blisters,” which grew larger and more painful. He denied any other new medications. He was placed on broad spectrum antibiotics by infectious disease physicians out of concern for ecthyma gangrenosum, and dermatology was consulted. On examination, violaceous, edematous plaques with a central pseudovesicle were seen on the bilateral elbows. Punch biopsies were performed for tissue culture and histology.",Bacterial sepsis,Sweet syndrome,Cellulitis,Erysipelas,Sweet syndrome,Dermatology,dermatology_public,case_15
16,"A 37-year-old man without a significant past medical history presents to the dermatology clinic with an itchy rash on his right hand that he has had for about 4 months. He had tried numerous over-the-counter hand creams and hydrocortisone cream with no improvement. Additional questioning revealed a 1-year-history of dry, itchy feet. As a construction worker, he wears occlusive, steel-toed work boots and often wears gloves. He is also right-handed. Examination of his hands reveals a normal left hand and a scaly right palm. Diffuse, fine, dry white scale was present on the plantar aspect of both feet.",Keratolysis exfoliativa,Dyshidrotic eczema,Palmar plantar pustulosis,Tinea,Tinea,Dermatology,dermatology_public,case_16
17,"The patient is a 46-year-old woman who presents at your primary care office for an examination with a single lesion that appears on her left arm. During the examination, it is revealed that the patient has a large sclerotic, indurated, hyperpigmented, anhidrotic, and hairless plaque on the right dorsal forearm. The patient states that these lesions had previously been slightly pink for several months before they had turned brown in color and had become “hard.” The patient has type 2 diabetes, but she has no other medical problems. In addition, she has no relevant social or family history.",Scleroderma (systemic sclerosis),Morphea,Lichen sclerosus,Lipodermatosclerosis,Morphea,Dermatology,dermatology_public,case_17
18,"A 38-year-old African American woman was referred to dermatology because of spots on her torso and arms. The lesions were asymptomatic, but their development, cause, and cosmesis were of concern. No benefit was seen with the use of OTC remedies such as hydroxycortisone 1% cream or vitamin E oil. Her medical history was significant for systemic lupus erythematosus, well controlled on hydroxychloroquine. Physical examination revealed numerous, well-circumscribed, 0.5- to 2-cm, hypopigmented, round-to-oval macules of wrinkled skin on her anterior chest wall, back, abdomen, and bilateral upper arms. Invagination of the lesions was noted with palpation. A punch biopsy was performed.",Cutis laxa,Mid-dermal elastolysis,Post-inflammatory elastolysis,Anetoderma associated with SLE,Anetoderma associated with SLE,Dermatology,dermatology_public,case_18
19,"The patient is a 21-year-old male who presents for continued acne therapy. He has had severe acne on his face, chest, and back for years. He is happy with his current acne regimen of topical tretinoin, topical clindamycin, and oral minocycline. He has been on the regimen for years. On examination, you notice significant blue-black discoloration confined to sites of previous acne scars. The patient has no other medical problems and no relevant social or family history.",Type I minocycline hyperpigmentation,Type II minocycline hyperpigmentation,Immunobullous disease,Type III minocycline hyperpigmentation,Type I minocycline hyperpigmentation,Dermatology,dermatology_public,case_19
20,"A 53-year-old woman presents with a rash on her left lower extremity that has been present for several weeks. The patient is a native of Brazil and immigrated to the United States in the past month. She states that the rash is painless and does not itch. On examination, the patient has multiple, raised, hyperpigmented papules on the left lower extremity. There is a large, atrophic, hypopigmented patch on her lower shin, at the site of a previous large ulcer. The superior lesion is the newest, and is beginning to ulcerate. She has no other medical problems.",Myiasis,Pyoderma,Foreign body granuloma,Cutaneous leishmaniasis,Cutaneous leishmaniasis,Dermatology,dermatology_public,case_20
21,"A 6-month-old infant presents with 2 weeks duration of erythematous papules on the soles of both feet and in the toe web spaces. On examination, a single burrow is visible on the left sole. Multiple family members also complain of a pruritic rash that has been bothering them for several months. The family members have tried multiple over-the-counter creams and remedies without success. The patient has no other medical problems or relevant family history.",Eczema,Scabies,Allergic contact dermatitis,Localized pruritus,Scabies,Dermatology,dermatology_public,case_21
22,"A 42-year-old man presents with a four-day history of experiencing headache, malaise, and stabbing right-sided headache. Two days after his initial symptoms appeared, he developed a rash over the area of pain. He reports that he went hiking through the Texas hill country prior to becoming ill. The patient is otherwise in good health and has an unremarkable medical history. Physical examination reveals unilateral erythematous, thin, raised plaques over the right forehead. In addition, he has no relevant social or family history.",Zosteriform herpes simplex,Contact dermatitis,Herpes zoster,Scabies,Herpes zoster,Dermatology,dermatology_public,case_22
23,"The patient is a 12-year-old Hispanic girl who presents with a 6-month history of nail dystrophy involving all of her fingernails. On examination, all 10 of her fingernails exhibit longitudinal ridging, pitting, fragility, thinning, and distal notching. The patient’s mother is very concerned about the cosmesis of her daughter’s nails. The patient has no systemic symptoms. On review of systems, the patient’s mother noted that her daughter has started to develop circular patches of hair loss that appear to resolve on their own. The patient has no relevant social or family history and does not take any medications.",Lichen planus,Trachyonychia,Psoriasis,Brittle nails,Trachyonychia,Dermatology,dermatology_public,case_23
24,"A 1-year-old boy presents with a single, L-shaped, yellow-orange hairless patch over the left preauricular skin. The patient’s mother notes that he has never grown hair in that location. The mother is concerned because the area used to be smooth, but seems to be changing. The patient has a history of prematurity and low birthweight but is otherwise healthy. The patient has no relevant social or family history.",Juvenile xanthogranuloma,Epidermal nevus,Syringocystadenoma papilliferum.,Nevus sebaceous,Nevus sebaceous,Dermatology,dermatology_public,case_24
25,"An 8-year-old African-American boy presents with a 3-day history of fever, pain, and a rash on his trunk. On examination, the patient has several fragile, bullous lesions on his trunk, many of which have eroded, exposing erythematous, annular lesions. The patient is febrile and shaking in the office, and he appears to be in pain. He has no other relevant social or family history and does not take any medications. His mother is very concerned about her son.",Bullous erythema multiforme,Stevens-Johnson syndrome,Bullous impetigo,Autoimmune bullous dermatoses,Bullous impetigo,Dermatology,dermatology_public,case_25
26,"A 13-year-old boy presents to the dermatology clinic concerned about the development of red, itchy, and sometimes painful bumps on his fingers. He first noted seeing the lesions 2 months prior, in early December. Although the initial lesions have since resolved, new lesions appeared after a skiing trip the previous weekend. The patient is otherwise healthy, with no significant past medical history, and he does not take any medications. Physical examination reveals erythematous, tender papules on the lateral and dorsal aspects of the distal fingers.",Raynaud disease,"Cryoglobulinemia,",Perniosis,Chronic myelomonocytic leukemia,Perniosis,Dermatology,dermatology_public,case_26
27,"A 52-year-old Hispanic woman presents with a 3-year history of a very pruritic rash over her shins bilaterally. On examination, both shins are covered in hyperpigmented papules that have coalesced to form thin, rippled plaques. The patient is very concerned about the appearance of her legs and the intense pruritus in the areas of the rash. The patient has no other medical problems and has no systemic symptoms. She has no relevant social or family history and does not take any medications.",Prurigo nodularis,Lichen amyloidosis,Pretibial myxedema,Hypertrophic lichen planus,Lichen amyloidosis,Dermatology,dermatology_public,case_27
28,"The patient is a 13-year-old adolescent girl who presents with a 1-month history of a dark lesion on her finger. She states that the lesion does not bother her, but she came to the clinician because her mother was very concerned about the enlarging area of hyperpigmentation. The patient has no past medical history, no relevant family or social history, and is otherwise in good health. On examination, the rash appears to be a 1 x 1 cm circular patch of hyperpigmentation with overlying scale on the middle finger. During the past month, the rash has grown in size but remains asymptomatic.",Acral nevi,Lentigines,Acral melanoma,Tinea nigra,Tinea nigra,Dermatology,dermatology_public,case_28
29,"A 72-year-old man presents to the clinic with an intensely itchy rash on his abdomen and chest that appeared 2 months prior. He denies starting any new medications prior to the onset of the eruption and any systemic symptoms. Although he traveled and stayed in hotels recently, he reports that his wife does not exhibit any similar symptoms. Physical examination reveals numerous discrete papules, crusted papules, and papulovesicles on the chest, abdomen, and mid-back. His upper and lower extremities, face, and groin are unaffected.",Grover disease,Scabies,Bullous pemphigoid,Pemphigus vulgaris,Grover disease,Dermatology,dermatology_public,case_29
30,"The patient is a 38-year-old Hispanic woman who presents with a 1-year history of a very pruritic rash over her interscapular area. On examination, she has a circular area of slightly hyperpigmented macules in the interscapular region. The patient complains of pruritus but no pain in the area of the rash. The patient has no other medical problems and has no systemic symptoms. She has no relevant social or family history and does not take any medications.",Macular amyloidosis,Lichen amyloidosis,Prurigo nodularis,Paresthetica,Macular amyloidosis,Dermatology,dermatology_public,case_30
31,"The patient is a 19-year-old woman who presents with several years of a worsening rash. The rash appears as erythematous, hyperkeratotic thin plaques in a seborrheic distribution. The patient states that the rash is very irritating and sometimes pruritic. The patient’s main complaint is that the rash exudes a malodor. The patient states that her father has a similar rash that he chooses not to treat.",Hailey-Hailey disease,Grover disease,Darier disease,Epidermodysplasia verruciformis,Darier disease,Dermatology,dermatology_public,case_31
32,"A 35-year-old woman is referred for evaluation and management of a rash involving both axillae. She reports recurring episodes of the same rash beginning in her early 20s. Lesions develop and involute spontaneously. Areas affected included the axillae, neck, and groin. Historically, outbreaks are more common and worse during the summer, and after vigorous exercise. Both her father and brother have the same problem; her brother saw a specialist, but forgot what he was told. Otherwise, she is healthy and taking no medications. Examination reveals moist, red, crusted, and malodorous plaques with fissures in both axillae.",Intertrigo,Darier disease,Pemphigus vegetans,Hailey-Hailey disease,Hailey-Hailey disease,Dermatology,dermatology_public,case_32
33,"On day-of-life 2, a 3-day-old boy who was born with no visible skin problems begins to develop erosions and bullae over both the palmar and plantar surfaces. These bullae are localized to areas of friction or trauma (eg, where electrocardiogram leads were placed). The mother’s pregnancy was normal, and the infant had been born without complications. Aside from the development of bullae, the infant has no evidence of any other medical problems. The infant’s parents are healthy and have no medical problems. No one in the infant’s family has had similar dermatologic findings.",Staphylococcal infection,Herpes,Epidermolysis bullosa,Bullous impetigo,Epidermolysis bullosa,Dermatology,dermatology_public,case_33
34,"A 44-year-old woman presents for her annual full skin examination. She has a specific concern regarding a lesion on her left lower leg. She recalls having a mosquito bite in that area a few years earlier, but it never went away. The lesion is bothersome only when she shaves her legs and nicks it; otherwise, there is no associated pain or tenderness. Physical examination reveals a firm, flat, pink and brown nodule located on the left anterior proximal shin. The lesion dimples inward when pressure is applied.",Dysplastic nevi,Basal cell carcinoma,Dermatofibroma,Keloids,Dermatofibroma,Dermatology,dermatology_public,case_34
35,"A 79-year-old white man with an extensive history of nonmelanoma skin cancer presents for a routine skin examination. During his visit, he asks to have a groin rash checked. For 1 to 2 years, he has been using over-the-counter and prescription antifungal and antibiotic creams for a presumed “jock itch.” Recently, he has developed more discomfort and reports episodic, profuse bleeding from the area. Examination reveals a large erythematous, eroded plaque on the posterior right scrotum extending anteriorly to the right upper thigh. A nodule is present within the plaque. The left scrotum is minimally involved, and there is no adenopathy.",Squamous cell carcinoma in situ,Extramammary Paget disease,Langerhans cell histiocytosis,Amelanotic melanoma,Extramammary Paget disease,Dermatology,dermatology_public,case_35
36,"A 61-year-old woman presents concerned about a white discoloration on her left breast that she first noticed 6 months earlier. It itches at times, and she is worried it might be cancerous. She showed it to her gynecologist at her annual visit, and he referred her to the dermatology clinic. Physical examination of the left breast reveals a 10-cm white, smooth, porcelain-like plaque. There is no associated erythema and no noticeable scale.",Lichen sclerosus et atrophicus,Lichen nitidus,Tinea versicolor,Vitiligo,Lichen sclerosus et atrophicus,Dermatology,dermatology_public,case_36
37,"A 56-year-old man presents with diffuse pruritic papules involving the upper body, with nose and forehead thickening. Over the past 2 years, he has been evaluated by multiple specialists for dysphagia, reflux, chronic kidney disease, hypertension, and dyspnea on exertion. Examination results are significant for generalized firm, fleshy, dome-shaped papules of several millimeters in diameter, on his forehead, ears, neck, trunk, back, proximal upper extremities, and dorsal hands, with forehead, glabella, and nose induration. Relevant laboratory findings include monoclonal gammopathy on serum immunofixation, consisting of immunoglobulin (Ig) G_ and IgA_, and unremarkable thyroid panel findings",Scleredema,Scleroderma,Scleromyxedema,Nephrogenic systemic fibrosis,Scleromyxedema,Dermatology,dermatology_public,case_37
38,"A 34-year-old man presents with an itchy rash, primarily on his arms, but also, to a lesser extent, on his face. He denies any fever or malaise, and his medical history is unremarkable. He does not take any medications and notes that he spent the previous weekend doing yardwork on his property, and the rash appeared 4 days later. Physical examination reveals several linear arrangements of papulovesicles on the dorsal and ventral aspects of his forearms with surrounding erythema.",Bullous impetigo,Toxicodendron dermatitis,Shingles,Phytophotodermatitis,Toxicodendron dermatitis,Dermatology,dermatology_public,case_38
39,"A 62-year-old white man with a past medical history of latent tuberculosis, vitiligo, and psoriasis presents for follow-up for treatment of psoriasis. The patient’s psoriasis has proven refractory to numerous treatments over the years, so he began treatment with secukinumab, a monoclonal antibody against interleukin-17A. After 2 months of therapy, the patient reports new-onset tongue pain. Physical examination demonstrates an erythematous, edematous, diamond-shaped plaque on the posterior dorsum of the patient’s tongue.",Median rhomboid glossitis,Lichen planus,Secondary syphilis,Geographic tongue,Median rhomboid glossitis,Dermatology,dermatology_public,case_39
40,"A 13-month-old toddler with spreading eczema on his trunk and arms is brought in by his mother. She is applying moisturizer and a cortisone cream. However, 2 days earlier, a wound appeared on his left hand that appears to be infected. Since then, more areas of raw, oozing skin have developed. Examination reveals lichenified scaling plaques scattered on the trunk and posterior knees and arms, and his left arm has monomorphic crusted vesicles and ulcerations on an erythematous base.",Impetigo,Eczema herpeticum,Varicella zoster virus infection,Animal pox infection,Eczema herpeticum,Dermatology,dermatology_public,case_40
41,"A 30-year-old healthy Hispanic woman presents with a slowly progressive facial deformity present since early childhood. She denies any new lesions during this time, any history of trauma to the area, and any family history of similar skin lesions. Examination reveals a bulging, deformed dermal mass with a “bag-of-worms” appearance involving the upper right quadrant of her face, with hypertrophy of the overlying skin and soft tissues. Neurofibromas and café-au-lait macules are not observed.",Schwannomas,Synovial sarcoma,Plexiform neurofibroma,Eczema herpeticum,Plexiform neurofibroma,Dermatology,dermatology_public,case_41
42,"A healthy 45-year-old woman presents with a several-month history of a small papule at the corner of her right eye. The lesion is asymptomatic and is not enlarging, but she has cosmetic concerns. She denies diplopia, vision loss, or any other lesions on her face and body. Examination reveals a dome-shaped, smooth, translucent papule filled with watery fluid located below the lateral canthus of her right eye.",Cystic pleomorphic adenomas,Warthin tumors,Mucous retention cysts,Hidrocystomas,Hidrocystomas,Dermatology,dermatology_public,case_42
43,"A 32-year-old white woman who has never smoked presents with pruritic, tender, erythematous, violaceous patches with eczema-like blisters on her upper, lateral thighs. In 2012, she began traveling annually from Pennsylvania to South Carolina, from January through April, where she works with and rides horses daily from morning to evening. Her symptoms began in her first year in South Carolina and appear consistently from January through March. Her lesions appear initially in mid-January as a red dot and progress by mid-February. They resolve spontaneously in March.",Chilblains,Cutaneous lupus erythematosus,Equestrian perniosis,Cutaneous sarcoidosis,Equestrian perniosis,Dermatology,dermatology_public,case_43
44,"A healthy 30-year-old man presents with a 3-year history of an asymptomatic, fleshy papule at the base of his great toe. He denies any new lesions during this time, a history of trauma to the area, or a family history of similar skin lesions. He was treated previously by another dermatologist with cryotherapy; however, he returns to the clinic with recurrence of the lesion. Examination reveals a pedunculated, flesh-colored, well-demarcated tumor on the plantar surface of the base of his great toe.",Acquired digital fibrokeratoma (ADFK),Pyogenic granuloma,Necrobiosis lipoidica,Cutaneous horn,Acquired digital fibrokeratoma (ADFK),Dermatology,dermatology_public,case_44
45,"A 45-year-old woman with insulin-dependent diabetes mellitus presents with a sore on her right leg. She describes a long-standing history of asymptomatic lesions on her shins but had only recently injured her leg, causing the sore, which is slow to heal. Despite a 15-year history of diabetes, she has no systemic complications. She has large, well-circumscribed plaques on her anterior shins bilaterally, which are yellow-brown with telangiectasias and minimally violaceous borders.",Necrobiotic xanthogranuloma (NXG),Acquired digital fibrokeratoma (ADFK),Diabetic dermopathy,Necrobiosis lipoidica,Necrobiosis lipoidica,Dermatology,dermatology_public,case_45
46,"A 60-year-old man presents with rapidly growing lesions on his face, trunk, axillae, flexural areas, and groin. The lesions appeared 3 months earlier in his perianal area and extended rapidly to other areas. Previously, he was treated with topical agents for atopic dermatitis and seborrheic dermatitis without improvement. Examination reveals disseminated violaceous papules and plaques on the face, trunk, axillae, and perianal area; some lesions were confluent and ulcerated. Yellowish-red to skin-colored papules are present on the scalp. He has no palpable lymphadenopathy or organomegaly.",Seborrheic dermatitis,Cutaneous Langerhans cell histiocytosis,Prurigo nodularis,Atopic dermatitis,Cutaneous Langerhans cell histiocytosis,Dermatology,dermatology_public,case_46
47,"A 13-year-old girl presents with a cystic lesion that has been on her forearm for several years. Concerned about the lesion, she reports that it may have grown slightly larger in the past year and it is intermittently painful. More recently, a second similar lesion has appeared in close proximity. She denies any other suspicious lesions elsewhere on her skin. Her family history is negative for skin cancer, and she reports no other medical conditions. Physical examination reveals two well-defined 6-mm nodules that are rubbery, slightly tender, and pink on the right proximal ventral forearm. The overlying skin is intact, and there is no associated adenopathy.",neuroma,Angiolipoma,Glomus tumor,Spiradenoma,Spiradenoma,Dermatology,dermatology_public,case_47
48,"A 62-year-old man with well-controlled rosacea, a monoclonal gammopathy of undetermined significance, and chronic lymphocytic leukemia (CLL; stable on no current therapy) was seen in the clinic for a full-body skin check. Results of his examination were unremarkable except for the presence of periorbital, yellow-brown plaques with violaceous borders involving the upper and lower eyelids, bilaterally. There was induration, but no warmth or tenderness, of the periorbital plaques. He first noticed these lesions around the time he was diagnosed with CLL; initially they were more discrete yellow papules that developed into plaques over time. They are completely asymptomatic.",Adult-onset xanthogranuloma,Necrobiotic xanthogranuloma,Erdheim-Chester disease,Adult-onset asthma with periocular xanthogranuloma,Necrobiotic xanthogranuloma,Dermatology,dermatology_public,case_48
49,"A healthy 16-year-old girl presents with six tan patches on her trunk and upper arms, freckles in her axillae, and a reddish discoloration under the tip of her thumbnail. The tan patches have been present since birth but have enlarged over the past 4 years. She reports paroxysmal pain and cold sensitivity involving the discolored portion of her thumb. Examination reveals six tan-brown macules with smooth borders ranging from 16 to 20 mm, axillary freckling, and a tender red-blue nodule under the thumbnail.",Noonan Syndrome,McCune-Albright Syndrome,DNA Repair Syndromes,Neurofibromatosis type 1,Neurofibromatosis type 1,Dermatology,dermatology_public,case_49
50,"A healthy 15-year-old girl presents with a solitary, asymptomatic lesion on her back. The lesion has been present since birth but has enlarged over the past 2 years. She denies association with previous trauma and irritation. Examination reveals multiple, comedo-like openings filled with dark lamellate keratinocyte plugs grouped in a linear distribution over a slightly hypotrophic area of 3 cm by 7 cm. Dermoscopy revealed numerous circular and barrel-shaped homogenous areas in dark-brown shades with remarkable keratin plugs.",Nevus comedonicus,Trichofolliculoma,Familial dyskeratotic comedones,Segmental acne,Nevus comedonicus,Dermatology,dermatology_public,case_50
51,"A 28-year-old healthy white woman with no significant past medical history presents with an enlarging papule on her right lateral neck. She describes a 1- to 2-mm pink papule that grew to approximately 10 mm within the past week. With minimal rubbing or trauma, the papule intermittently bleeds. It is otherwise nontender and nonpruritic. She has no history of skin cancer and is taking oral contraceptives. Physical examination shows a pink, friable papule on a stalk on the right lateral neck. There are no other similar lesions seen on examination.",Amelanotic melanoma,Kaposi sarcoma,Pyogenic granuloma,Bacillary angiomatosis,Pyogenic granuloma,Dermatology,dermatology_public,case_51
52,"A healthy 12-month-old infant girl presents with a yellowish-orange papule on the right upper extremity. Her mother first noticed this lesion approximately 6 months earlier. It has never bled, ulcerated, or formed blisters. The infant does not scratch the lesion nor appears otherwise bothered by it. However, when the lesion is rubbed, it appears to swell and turn bright red. On physical examination, there is a soft, oval-shaped, yellowish papule with a peripheral rim of erythema on the right extensor forearm.",Solitary mastocytoma,Pseudomonas nail infection,Epidermolysis bullosa,Bullous arthropod bites,Solitary mastocytoma,Dermatology,dermatology_public,case_52
53,"An otherwise healthy 60-year-old dishwasher presents with asymptomatic green discoloration of his right middle fingernail over a period of 2 months. The discoloration began from the distal margin. He denies wearing gloves while working and reports a tendency to pick at his nails when nervous. On examination, distal onycholysis and green discoloration are present exclusively on the right middle nail plate starting from the distal edge without signs of paronychia. Dermoscopy reveals pigment localization under the nail plate.",Subungual hematomas,Glomus tumors,Pseudomonas nail infection,Solitary mastocytoma,Pseudomonas nail infection,Dermatology,dermatology_public,case_53
54,"A 43-year-old elementary school teacher presents with a rash that began on his left thigh approximately 4 months earlier; the rash has since spread. It is mildly itchy but has no associated pain or bleeding. His past medical history is significant for allergic rhinitis and atopic dermatitis. Suspecting eczema, he has been applying an over-the-counter hydrocortisone 1% cream as well as a moisturizer, which transiently alleviates the itch. He has not changed laundry or hygiene products. On physical examination, there are slightly erythematous, minimally scaly patches scattered over his left hip and buttock.",Tinea incognito,Eczema,Cutaneous lupus,Levamisole-induced antineutrophil cytoplasmic antibody vasculitis,Tinea incognito,Dermatology,dermatology_public,case_54
55,"A 50-year-old woman presents with a 5-day history of progressive, painful rash involving her face, trunk, extremities, nasal tip, and ears, in addition to fever and arthralgia. She admits to a history of polysubstance use and states that her last use was a week prior to symptom onset. She denies a history of autoimmune disease or recent travel. Examination reveals retiform purpura with areas of necrosis and bullae formation. Urine toxicology screening is positive for cocaine, and laboratory findings include leukopenia and an elevated erythrocyte sedimentation rate (70 mm/h).",Disseminated intravascular coagulation,Warfarin-induced skin necrosis,Tinea incognito,Levamisole-induced antineutrophil cytoplasmic antibody vasculitis,Levamisole-induced antineutrophil cytoplasmic antibody vasculitis,Dermatology,dermatology_public,case_55
